web-1  | "time": "2026-09-25T22:58:55+00:00", "remote_addr": "172.18.0.1", "remote_user": "-", "body_bytes_sent": "146", "request_time": "0.017", "status": "200", "request": "POST /ajax.php HTTP/1.1", "request_method": "POST", "http_referrer": "http://localhost:8080/index.php?m=contacts&a=add", "http_user_agent": "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.37 Safari/537.36"
web-1  | "time": "2026-09-25T22:58:55+00:00", "remote_addr": "172.18.0.1", "remote_user": "-", "body_bytes_sent": "226", "request_time": "0.018", "status": "200", "request": "POST /ajax.php HTTP/1.1", "request_method": "POST", "http_referrer": "http://localhost:8080/index.php?m=contacts&a=add", "http_user_agent": "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.37 Safari/537.36"
web-1  | "time": "2026-09-25T22:58:56+00:00", "remote_addr": "172.18.0.1", "remote_user": "-", "body_bytes_sent": "5", "request_time": "0.021", "status": "302", "request": "POST /index.php?m=contacts&a=add&v=-1 HTTP/1.1", "request_method": "POST", "http_referrer": "http://localhost:8080/index.php?m=contacts&a=add", "http_user_agent": "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.37 Safari/537.36"
web-1  | "time": "2026-09-25T22:58:56+00:00", "remote_addr": "172.18.0.1", "remote_user": "-", "body_bytes_sent": "3024", "request_time": "0.026", "status": "200", "request": "GET /index.php?m=contacts&a=show&contactID=1 HTTP/1.1", "request_method": "GET", "http_referrer": "http://localhost:8080/index.php?m=contacts&a=add", "http_user_agent": "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.37 Safari/537.36"
web-1  | "time": "2026-09-25T22:58:56+00:00", "remote_addr": "172.18.0.1", "remote_user": "-", "body_bytes_sent": "3024", "request_time": "0.025", "status": "200", "request": "GET /index.php?m=contacts&a=show&contactID=1 HTTP/1.1", "request_method": "GET", "http_referrer": "-", "http_user_agent": "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.37 Safari/537.36"
web-1  | "time": "2026-09-25T22:58:57+00:00", "remote_addr": "172.18.0.1", "remote_user": "-", "body_bytes_sent": "2060", "request_time": "0.023", "status": "200", "request": "GET /index.php?m=contacts&a=showColdCallList HTTP/1.1", "request_method": "GET", "http_referrer": "-", "http_user_agent": "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.37 Safari/537.36"
web-1  | "time": "2026-09-25T22:58:57+00:00", "remote_addr": "172.18.0.1", "remote_user": "-", "body_bytes_sent": "6755", "request_time": "0.032", "status": "200", "request": "GET /index.php?m=joborders HTTP/1.1", "request_method": "GET", "http_referrer": "-", "http_user_agent": "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.37 Safari/537.36"
web-1  | "time": "2026-09-25T22:58:58+00:00", "remote_addr": "172.18.0.1", "remote_user": "-", "body_bytes_sent": "6755", "request_time": "0.028", "status": "200", "request": "GET /index.php?m=joborders HTTP/1.1", "request_method": "GET", "http_referrer": "-", "http_user_agent": "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.37 Safari/537.36"
web-1  | "time": "2026-09-25T22:58:58+00:00", "remote_addr": "172.18.0.1", "remote_user": "-", "body_bytes_sent": "1102", "request_time": "0.023", "status": "200", "request": "GET /index.php?m=joborders&a=addJobOrderPopup HTTP/1.1", "request_method": "GET", "http_referrer": "http://localhost:8080/index.php?m=joborders", "http_user_agent": "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.37 Safari/537.36"
web-1  | "time": "2026-09-25T22:58:59+00:00", "remote_addr": "172.18.0.1", "remote_user": "-", "body_bytes_sent": "4044", "request_time": "0.027", "status": "200", "request": "GET /index.php?m=joborders&a=add HTTP/1.1", "request_method": "GET", "http_referrer": "-", "http_user_agent": "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.37 Safari/537.36"
web-1  | "time": "2026-09-25T22:58:59+00:00", "remote_addr": "172.18.0.1", "remote_user": "-", "body_bytes_sent": "230", "request_time": "0.018", "status": "200", "request": "POST /ajax.php HTTP/1.1", "request_method": "POST", "http_referrer": "http://localhost:8080/index.php?m=joborders&a=add", "http_user_agent": "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.37 Safari/537.36"
web-1  | "time": "2026-09-25T22:58:59+00:00", "remote_addr": "172.18.0.1", "remote_user": "-", "body_bytes_sent": "230", "request_time": "0.016", "status": "200", "request": "POST /ajax.php HTTP/1.1", "request_method": "POST", "http_referrer": "http://localhost:8080/index.php?m=joborders&a=add", "http_user_agent": "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.37 Safari/537.36"
web-1  | "time": "2026-09-25T22:58:59+00:00", "remote_addr": "172.18.0.1", "remote_user": "-", "body_bytes_sent": "230", "request_time": "0.016", "status": "200", "request": "POST /ajax.php HTTP/1.1", "request_method": "POST", "http_referrer": "http://localhost:8080/index.php?m=joborders&a=add", "http_user_agent": "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.37 Safari/537.36"
web-1  | "time": "2026-09-25T22:58:59+00:00", "remote_addr": "172.18.0.1", "remote_user": "-", "body_bytes_sent": "230", "request_time": "0.017", "status": "200", "request": "POST /ajax.php HTTP/1.1", "request_method": "POST", "http_referrer": "http://localhost:8080/index.php?m=joborders&a=add", "http_user_agent": "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.37 Safari/537.36"
web-1  | "time": "2026-09-25T22:59:00+00:00", "remote_addr": "172.18.0.1", "remote_user": "-", "body_bytes_sent": "230", "request_time": "0.016", "status": "200", "request": "POST /ajax.php HTTP/1.1", "request_method": "POST", "http_referrer": "http://localhost:8080/index.php?m=joborders&a=add", "http_user_agent": "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.37 Safari/537.36"
web-1  | "time": "2026-09-25T22:59:00+00:00", "remote_addr": "172.18.0.1", "remote_user": "-", "body_bytes_sent": "230", "request_time": "0.017", "status": "200", "request": "POST /ajax.php HTTP/1.1", "request_method": "POST", "http_referrer": "http://localhost:8080/index.php?m=joborders&a=add", "http_user_agent": "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.37 Safari/537.36"
